epoch,train_loss,val_mean_dice_ex_bg,dice_bg,dice_nerve,dice_artery,dice_muscle,lr
1,1.6398829515233184,0.2508289803778627,0.9535990634629893,0.08164863896959852,0.00601340746959486,0.6648248946943949,0.0002
2,1.5185998154409004,0.43127862361773134,0.9672435217125471,0.39092714675269696,0.1036065023697986,0.799302221730698,0.0002
3,1.4801443661704208,0.5171895760264618,0.9684285514576491,0.5092163824890318,0.21448293862407722,0.827869406966276,0.0002
4,1.4580488340421156,0.42926705369022705,0.9682662577130073,0.2683385078708678,0.2407669121812297,0.7786957410185836,0.0002
5,1.4394164952364834,0.5244164913644893,0.9704639766105386,0.4434258413096212,0.31383444029526514,0.8159891924885816,0.0002
6,1.4225849319588055,0.4694159919331049,0.9651476089344468,0.5000341086296839,0.14024032946119275,0.7679735377084377,0.0002
7,1.4104316821604064,0.5391838995320947,0.9694402737672939,0.5742867418334575,0.20685526114306585,0.8364096956197605,0.0002
8,1.3997625229936657,0.6301413936300763,0.9700401674869449,0.5761134448599935,0.4701595451366404,0.8441511908935946,0.0002
9,1.3887882697762866,0.5645885373007046,0.9704822253349216,0.5731580999740286,0.29151048353955206,0.8290970283885335,0.0002
10,1.382436130986069,0.5535759569259825,0.9704008040040039,0.5134410617954933,0.28598652697541405,0.86130028200704,0.0002
11,1.3753802744728145,0.5050525281088385,0.9698638950669488,0.5154255510769202,0.1637814826046984,0.8359505506448968,0.0002
12,1.367651324380528,0.5716897749699288,0.9708936200585476,0.5812496035660817,0.27475979114944843,0.859059930194256,0.0002
13,1.3627768768505617,0.5754885315128154,0.9709762119969656,0.5284364783878264,0.3509552302135503,0.8470738859370698,0.0002
14,1.3566614470698617,0.5399069827555664,0.9732289057831431,0.5305422344833572,0.22066172559739292,0.8685169881859491,0.0002
15,1.35077111964876,0.5139821778772813,0.970575493435527,0.5201661873319374,0.17137222643566435,0.850408119864242,0.0002
16,1.3475309854204005,0.5447735980101412,0.9636086267094279,0.5240880422917482,0.3726469122481175,0.7375858394905578,0.0002
17,1.342402186809164,0.5491805445608359,0.9725165214649466,0.5824767114502039,0.18982855238959706,0.8752363698427067,0.0002
18,1.3381101042032242,0.5323781359405217,0.969658633997274,0.5523063332552046,0.1811264711260092,0.8637016034403513,0.0002
19,1.336595547018629,0.5442592010882525,0.9725567338078521,0.47197863351248226,0.3093226948017156,0.8514762749505598,0.0002
20,1.3314400414625804,0.5850950952761113,0.9730445520822392,0.5399038908518473,0.3432643552072919,0.8721170397691949,0.0002
21,1.3272944485599345,0.5184933046102056,0.9730011314846748,0.5427418096268511,0.12575056082045552,0.88698754338331,0.0002
22,1.3249829492785714,0.5514451382722211,0.974345185035883,0.5484521337578206,0.2330295368902281,0.8728537441686143,0.0002
23,1.3232665188384778,0.4837223065928243,0.9693571384563002,0.5247564052252031,0.057150978980020445,0.8692595355732496,0.0002
24,1.3216961820920308,0.5077138796109201,0.9727662905704143,0.5252698232178531,0.12976006520070185,0.8681117504142052,0.0002
25,1.3170364946126938,0.4934130959219267,0.971090474101,0.5044922771080517,0.11448000987440655,0.8612670007833215,0.0002
26,1.3129215529470732,0.6082108814043383,0.9752575997696367,0.5129101157549174,0.4336624135199379,0.8780601149381593,0.0002
27,1.311953898180615,0.545135094860442,0.973117936489194,0.5409686126084844,0.22564077043589983,0.8687959015369415,0.0002
28,1.3094319497997111,0.5680306690916219,0.9723806727764218,0.5501944960364025,0.27033919079378,0.8835583204446837,0.0002
29,1.306793367320841,0.600963447536282,0.9744663980118063,0.5328818469769512,0.3848226232323648,0.8851858723995297,0.0002
30,1.3051076942321025,0.5757595492838885,0.9727302803549656,0.5557928071749508,0.28882921271395945,0.8826566279627556,0.0002
31,1.302033434311549,0.6456208211533183,0.9742874523927999,0.5839254433593829,0.45859881637653105,0.8943382037240405,0.0002
32,1.2988439419052817,0.5966362062101468,0.9734180271625519,0.5622522900585863,0.3349745275299629,0.8926818010418914,0.0002
33,1.2985688402797237,0.6168616780201115,0.9753933833088986,0.5126695263715118,0.46106603447301003,0.8768494732158129,0.0002
34,1.29689408929059,0.509152895625169,0.9716346922308899,0.4696639996705337,0.19190523151503333,0.8658894556899404,0.0002
35,1.2938926061897567,0.5895859535112441,0.972297513207724,0.5215927102893473,0.3609245521701597,0.8862405980742255,0.0002
36,1.2930035938819249,0.5457282170964539,0.9734856188297272,0.5389776008703265,0.20280552512952205,0.8954015252895133,0.0002
37,1.289221534674818,0.6263584752980269,0.9735484497491703,0.564074070680688,0.4144214896246945,0.9005798655886983,0.0002
38,1.2877270218097803,0.5617378329086242,0.9739703238010406,0.5042220323409048,0.29799524684976086,0.8829962195352067,0.0002
39,1.2865194253849261,0.6408693969585539,0.9744889625283175,0.5444868671977848,0.479095555636266,0.8990257680416107,0.0002
40,1.2892411527308552,0.5924594169361614,0.9739065710888353,0.5343508759378633,0.3462485910446801,0.8967787838259409,0.0002
41,1.2827967007954915,0.6524939878987891,0.9753144217091937,0.5844693773296753,0.4695920722211294,0.9034205141455628,0.0002
42,1.2811427328622702,0.6324761220933509,0.9751202360142109,0.5530356710429037,0.4444794764117866,0.8999132188253625,0.0002
43,1.282824363672372,0.5966809064439678,0.9756224793057109,0.39595427195347593,0.5314728561601223,0.8626155912183052,0.0002
44,1.280639037489891,0.6307213749903003,0.9745318224263746,0.5148547552407817,0.48410372356453774,0.8932056461655816,0.0002
45,1.2766884339578224,0.6671991169222251,0.975603346214738,0.5930212944296082,0.49981639514494924,0.9087596611921177,0.0002
46,1.2769382121888073,0.6104048487527357,0.9742226378862248,0.5663409780915917,0.3587011689091107,0.9061723992575047,0.0002
47,1.2741740147272747,0.6564152580405224,0.9753597836161769,0.5613561592051097,0.5134987293499014,0.8943908855665562,0.0002
48,1.2743405519109783,0.5471593321405025,0.9685771784117055,0.5556001108193552,0.25272761176344355,0.8331502738387085,0.0002
49,1.2720559654813823,0.6191647096795504,0.9765558506167212,0.47673730453607654,0.48247496747778285,0.8982818570247916,0.0002
50,1.2707037153569134,0.6152731101633945,0.9763416654841844,0.4580727079153367,0.4942968330119562,0.8934497895628907,0.0002
